Date,strategy_return,gross_strategy_return,exposure,turnover,equity,gross_equity,drawdown,strategy_key,model_key,split,threshold
2021-12-06,0.0,0.0,0.0,0.0,1.3089991236227292,1.3159910951363707,-0.02656908492717991,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-07,0.0,0.0,0.0,0.0,1.3089991236227292,1.3159910951363707,-0.02656908492717991,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-08,-0.00814847615394825,-0.00804847615394825,1.0,1.0,1.2983327754783502,1.3053993721883574,-0.034501063526166775,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-09,0.005960521916935487,0.005960521916935487,1.0,0.0,1.3060715164420644,1.3131802337566398,-0.028746185954536818,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-10,-0.0030323898786216515,-0.002965723211954985,0.3333333333333333,0.6666666666666666,1.3021109983948496,1.3092857046559072,-0.031691406189820914,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-13,-0.00619917071858164,-0.006132504051914974,1.0,0.6666666666666666,1.294038990021257,1.3012565047669904,-0.037694116471119976,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-14,0.0035274519766668104,0.003594118643333477,0.3333333333333333,0.6666666666666666,1.2986036504144913,1.3059333750305324,-0.03429962868010794,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-15,-0.0002763904904971026,-0.0002763904904971026,0.3333333333333333,0.0,1.298244728714592,1.3055724274644511,-0.03456653907941032,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-16,-0.00881545802811372,-0.008748791361447053,1.0,0.6666666666666666,1.2868001067983887,1.2941502466893067,-0.04307727723309218,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-17,-0.008642644650777432,-0.008609311317444098,0.6666666666666666,0.3333333333333333,1.2756787507387477,1.2830085043240114,-0.05134762028422113,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-20,-6.666666666666667e-05,0.0,0.0,0.6666666666666666,1.2755937054886985,1.2830085043240114,-0.051410863776202076,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-21,0.0,0.0,0.0,0.0,1.2755937054886985,1.2830085043240114,-0.051410863776202076,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-22,0.003515045243566672,0.0035817119102333392,0.6666666666666666,0.6666666666666666,1.2800774750759,1.2876038711648792,-0.04807653004481971,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-23,0.011360466039987893,0.011393799373321226,1.0,0.3333333333333333,1.2946197517600535,1.3022745713452437,-0.03726223579172627,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-27,-0.0011348045038382937,-0.0011348045038382937,1.0,0.0,1.2931506114349982,1.300796744296447,-0.03835475494256502,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-28,0.0008061117305405707,0.0008061117305405707,1.0,0.0,1.2941930353122317,1.3018453318110734,-0.037579561429905595,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-29,-0.0010706247850248058,-0.0010706247850248058,1.0,0.0,1.29280744017202,1.3004515439325677,-0.03860995260505318,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-30,-0.0025947356420872314,-0.0025947356420872314,1.0,0.0,1.2894529466286502,1.2970772159607185,-0.04110450562697676,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
2021-12-31,0.007469532530395284,0.007469532530395284,1.0,0.0,1.299084557359907,1.3067657764197715,-0.03394200453850793,price_above_trailing_ema_20,price_above_trailing_ema_20,validation,
