Date,index_name,next_return,strategy_key,signal,trade,gross_strategy_return,strategy_return,threshold,cost_per_trade,model_key,split,p_up
2020-03-19,DJI,-0.04546230707231824,buy_and_hold,1,0.0,-0.04546230707231824,-0.04546230707231824,,0.0001,buy_and_hold,validation,
2020-03-20,DJI,-0.03035624320042052,buy_and_hold,1,0.0,-0.03035624320042052,-0.03035624320042052,,0.0001,buy_and_hold,validation,
2020-03-23,DJI,0.11365038487128554,buy_and_hold,1,0.0,0.11365038487128554,0.11365038487128554,,0.0001,buy_and_hold,validation,
2020-03-24,DJI,0.02393828323813052,buy_and_hold,1,0.0,0.02393828323813052,0.02393828323813052,,0.0001,buy_and_hold,validation,
2020-03-25,DJI,0.06375400638190976,buy_and_hold,1,0.0,0.06375400638190976,0.06375400638190976,,0.0001,buy_and_hold,validation,
2020-03-26,DJI,-0.04058988558528953,buy_and_hold,1,0.0,-0.04058988558528953,-0.04058988558528953,,0.0001,buy_and_hold,validation,
2020-03-27,DJI,0.03192249493686217,buy_and_hold,1,0.0,0.03192249493686217,0.03192249493686217,,0.0001,buy_and_hold,validation,
2020-03-30,DJI,-0.01837735382586836,buy_and_hold,1,0.0,-0.01837735382586836,-0.01837735382586836,,0.0001,buy_and_hold,validation,
2020-03-31,DJI,-0.04442409509261247,buy_and_hold,1,0.0,-0.04442409509261247,-0.04442409509261247,,0.0001,buy_and_hold,validation,
2020-04-01,DJI,0.022437977206303916,buy_and_hold,1,0.0,0.022437977206303916,0.022437977206303916,,0.0001,buy_and_hold,validation,
2020-04-02,DJI,-0.016854368097792727,buy_and_hold,1,0.0,-0.016854368097792727,-0.016854368097792727,,0.0001,buy_and_hold,validation,
2020-04-03,DJI,0.07730472299528857,buy_and_hold,1,0.0,0.07730472299528857,0.07730472299528857,,0.0001,buy_and_hold,validation,
2020-04-06,DJI,-0.001152116910104528,buy_and_hold,1,0.0,-0.001152116910104528,-0.001152116910104528,,0.0001,buy_and_hold,validation,
2020-04-07,DJI,0.03441841699383685,buy_and_hold,1,0.0,0.03441841699383685,0.03441841699383685,,0.0001,buy_and_hold,validation,
2020-04-08,DJI,0.01219617838852538,buy_and_hold,1,0.0,0.01219617838852538,0.01219617838852538,,0.0001,buy_and_hold,validation,
2020-04-09,DJI,-0.013853656315492291,buy_and_hold,1,0.0,-0.013853656315492291,-0.013853656315492291,,0.0001,buy_and_hold,validation,
2020-04-13,DJI,0.0238978879275884,buy_and_hold,1,0.0,0.0238978879275884,0.0238978879275884,,0.0001,buy_and_hold,validation,
2020-04-14,DJI,-0.018597681145865352,buy_and_hold,1,0.0,-0.018597681145865352,-0.018597681145865352,,0.0001,buy_and_hold,validation,
2020-04-15,DJI,0.0014180353849395644,buy_and_hold,1,0.0,0.0014180353849395644,0.0014180353849395644,,0.0001,buy_and_hold,validation,
2020-04-16,DJI,0.029943902712586956,buy_and_hold,1,0.0,0.029943902712586956,0.029943902712586956,,0.0001,buy_and_hold,validation,
2020-04-17,DJI,-0.024421996255335254,buy_and_hold,1,0.0,-0.024421996255335254,-0.024421996255335254,,0.0001,buy_and_hold,validation,
2020-04-20,DJI,-0.02670394292875722,buy_and_hold,1,0.0,-0.02670394292875722,-0.02670394292875722,,0.0001,buy_and_hold,validation,
2020-04-21,DJI,0.01985066171768568,buy_and_hold,1,0.0,0.01985066171768568,0.01985066171768568,,0.0001,buy_and_hold,validation,
2020-04-22,DJI,0.0016800265123859681,buy_and_hold,1,0.0,0.0016800265123859681,0.0016800265123859681,,0.0001,buy_and_hold,validation,
2020-04-23,DJI,0.011057075277925987,buy_and_hold,1,0.0,0.011057075277925987,0.011057075277925987,,0.0001,buy_and_hold,validation,
2020-04-24,DJI,0.015079113717741066,buy_and_hold,1,0.0,0.015079113717741066,0.015079113717741066,,0.0001,buy_and_hold,validation,
2020-04-27,DJI,-0.001335472520260006,buy_and_hold,1,0.0,-0.001335472520260006,-0.001335472520260006,,0.0001,buy_and_hold,validation,
2020-04-28,DJI,0.022086131389889907,buy_and_hold,1,0.0,0.022086131389889907,0.022086131389889907,,0.0001,buy_and_hold,validation,
2020-04-29,DJI,-0.011696908239309578,buy_and_hold,1,0.0,-0.011696908239309578,-0.011696908239309578,,0.0001,buy_and_hold,validation,
2020-04-30,DJI,-0.025549870778108108,buy_and_hold,1,0.0,-0.025549870778108108,-0.025549870778108108,,0.0001,buy_and_hold,validation,
2020-05-01,DJI,0.0010989015621094556,buy_and_hold,1,0.0,0.0010989015621094556,0.0010989015621094556,,0.0001,buy_and_hold,validation,
2020-05-04,DJI,0.005613951467299039,buy_and_hold,1,0.0,0.005613951467299039,0.005613951467299039,,0.0001,buy_and_hold,validation,
